observation number,publication number,Title ,Authors,Data_extracted_by,Extraction_date,Continent, Country,year_of_experiment,Site,lat_decimals,long_decimals,eco_type,Annual_precip ,precipitation_levels,Annual_temp,Regional_climate ,climatic_region,SOM,Soil C %,Soil N%,Soil C:N ratio ,Soil pH,litterbags_size_cm2,Fauna_available, Top_mesh_size,Fauna_group,Bottom_mesh_size,Burial_location  ,Time_Days,Duration_period,spc_abbr, Litter_type,Drying_method,Oven_temp_C,Litter_size,sp_div_in_mixture,species_richness,propotions,Mixture_mass_ratio,n_expected,n_observed,Lit_Car,Lit_Nit,Lit_Pho,Lit_Lig,Lit_Car_Nit_ratio,Lit_Lig_Nit_ratio,expected_decay_k,observed_decay_k,initial_weight_g,Final_weight_g,m_expected,sd_expected,m_observed,sd_observed,obs_per_day,exp_per_day,sd_obsv_per_day,sd_exp_per_day
16,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,243,medium,"Be,Ra",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,56.84,1.26,N/A,N/A,45.3,N/A,0.475,0.5,8,6.7064,16.82,3.819358585,16.17,3.38,0.06654321,0.069218107,0.013909465,0.015717525
17,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,243,medium,"Be,Pk",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,50.81,1.43,N/A,N/A,35.47,N/A,0.76,0.92,8,5.3792,25.055,4.404316065,32.76,5.14,0.134814815,0.103106996,0.021152263,0.018124757
18,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,243,medium,"Be,Pk,Ra",Deciduous,air dried,N/A,Whole leaf,3,three,equal,01:01:01,6,6,53.84,1.39,N/A,N/A,38.7,N/A,0.64,0.75,8,5.6808,22.09,3.825480362,28.99,3.11,0.119300412,0.09090535,0.012798354,0.015742718
19,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,304,medium,"Be,Ra",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,56.84,1.26,N/A,N/A,45.3,N/A,0.475,0.5,8,5.524,29.125,5.067780579,30.95,2.35,0.101809211,0.095805921,0.007730263,0.016670331
20,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,304,medium,"Be,Pk",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,50.81,1.43,N/A,N/A,35.47,N/A,0.76,0.92,8,3.6408,41.84,6.699634318,54.49,5.95,0.179243421,0.137631579,0.019572368,0.022038271
21,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,304,medium,"Be,Pk,Ra",Deciduous,air dried,N/A,Whole leaf,3,three,equal,01:01:01,6,6,53.84,1.39,N/A,N/A,38.7,N/A,0.64,0.75,8,4.4368,36.686,3.66772409,44.54,5.66,0.146513158,0.120677632,0.018618421,0.012064882
22,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,365,long,"Be,Ra",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,56.84,1.26,N/A,N/A,45.3,N/A,0.475,0.5,8,4.764,38.855,3.215493741,40.45,3.6,0.110821918,0.106452055,0.009863014,0.008809572
23,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,365,long,"Be,Pk",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,50.81,1.43,N/A,N/A,35.47,N/A,0.76,0.92,8,3.3776,53.27,4.226795476,57.78,7.54,0.15830137,0.145945205,0.020657534,0.011580262
24,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,365,long,"Be,Pk,Ra",Deciduous,air dried,N/A,Whole leaf,3,three,equal,01:01:01,6,6,53.84,1.39,N/A,N/A,38.7,N/A,0.64,0.75,8,3.8088,46.91,5.958288345,52.39,4.65,0.143534247,0.128520548,0.012739726,0.016324078
25,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,180,short,"Lg,Am",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,46.4,0.995,N/A,332.9,N/A,33.6,N/A,N/A,10,8.5881,11.013,2.13,14.119,2.13,0.078438889,0.061183333,0.011833333,0.011833333
26,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,270,medium,"Lg,Am",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,46.4,0.995,N/A,332.9,N/A,33.6,N/A,N/A,10,7.3798,25.169,0.71,26.202,0.71,0.097044444,0.093218519,0.00262963,0.00262963
27,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,360,medium,"Lg,Am",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,46.4,0.995,N/A,332.9,N/A,33.6,N/A,N/A,10,6.2721,36.8415,0.3,37.279,0.3,0.103552778,0.1023375,0.000833333,0.000833333
28,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,450,long,"Lg,Am",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,46.4,0.995,N/A,332.9,N/A,33.6,N/A,N/A,10,5.1012,44.6835,2.95,48.988,2.95,0.108862222,0.099296667,0.006555556,0.006555556
29,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,630,long,"Lg,Am",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,46.4,0.995,N/A,332.9,N/A,33.6,N/A,N/A,10,4.9924,47.9455,1.46,50.076,1.46,0.079485714,0.076103968,0.00231746,0.00231746
30,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,720,long,"Lg,Am",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,46.4,0.995,N/A,332.9,N/A,33.6,N/A,N/A,10,4.2451,53.5175,2.76,57.549,2.76,0.079929167,0.074329861,0.003833333,0.003833333
31,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,180,short,"Lg,Qm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.3,0.78,N/A,314.45,N/A,36.2,N/A,N/A,10,8.6738,10.059,2.2,13.262,2.2,0.073677778,0.055883333,0.012222222,0.012222222
32,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,270,medium,"Lg,Qm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.3,0.78,N/A,314.45,N/A,36.2,N/A,N/A,10,7.2854,21.896,3.6,27.146,3.6,0.100540741,0.081096296,0.013333333,0.013333333
33,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,360,medium,"Lg,Qm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.3,0.78,N/A,314.45,N/A,36.2,N/A,N/A,10,6.0772,32.445,4.65,39.228,4.65,0.108966667,0.090125,0.012916667,0.012916667
34,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,450,long,"Lg,Qm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.3,0.78,N/A,314.45,N/A,36.2,N/A,N/A,10,5.567,38.9125,3.72,44.33,3.72,0.098511111,0.086472222,0.008266667,0.008266667
35,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,630,long,"Lg,Qm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.3,0.78,N/A,314.45,N/A,36.2,N/A,N/A,10,5.2294,44.3595,2.29,47.706,2.29,0.07572381,0.070411905,0.003634921,0.003634921
36,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,720,long,"Lg,Qm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.3,0.78,N/A,314.45,N/A,36.2,N/A,N/A,10,4.6022,50.563,2.34,53.978,2.34,0.074969444,0.070226389,0.00325,0.00325
37,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,180,short,"Lg,Jm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.45,1.135,N/A,383.25,N/A,35.05,N/A,N/A,10,8.8881,11.356,0.16,11.119,0.16,0.061772222,0.063088889,0.000888889,0.000888889
38,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,270,medium,"Lg,Jm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.45,1.135,N/A,383.25,N/A,35.05,N/A,N/A,10,7.3898,21.897,2.88,26.102,2.88,0.096674074,0.0811,0.010666667,0.010666667
39,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,360,medium,"Lg,Jm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.45,1.135,N/A,383.25,N/A,35.05,N/A,N/A,10,6.4791,34.037,1.85,35.209,1.85,0.097802778,0.094547222,0.005138889,0.005138889
40,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,450,long,"Lg,Jm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.45,1.135,N/A,383.25,N/A,35.05,N/A,N/A,10,5.9801,40.3315,0.09,40.199,0.09,0.089331111,0.089625556,0.0002,0.0002
41,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,630,long,"Lg,Jm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.45,1.135,N/A,383.25,N/A,35.05,N/A,N/A,10,5.8435,43.804,1.54,41.565,1.54,0.06597619,0.069530159,0.002444444,0.002444444
42,2,Microbial groups and their functions control the decomposition of evergreen litter: A comparison with broadleaved tree litters,Zhang et al 2019,Denis Mburu Njoroge,04/06/2020,Asia,China,2012,Qingyuan Forest,41.51,124.54,Forest,850,low,4.7,continental monsoon climate with,Temperate,N/A,43.6,3.9,N/A,5.9,225,absent,0.5,microfauna,0.5,Surface ,720,long,"Lg,Jm",Deciduous,oven dried,60,Whole leaf,2,two,equal,01:01,5,5,47.45,1.135,N/A,383.25,N/A,35.05,N/A,N/A,10,5.0377,49.5255,0.07,49.623,0.07,0.068920833,0.068785417,9.72E-05,9.72E-05
43,3,"The influence of litter mixing on decomposition and soil fauna assemblages in a Pinus koraiensis mixed broad-leaved forest of the Changbai Mountains, China",Jiang et al 2013,Denis Mburu Njoroge,05/06/2020,Asia,China,2009,Changbai Mountains (2),42.24,128.5,Forest,800,low,3,Temperate ,Temperate,N/A,N/A,N/A,N/A,5.35,300,present,4,macrofauna,N/A,Surface ,183,medium,"Pk,Fm",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,48.6,0.6165,0.0285,N/A,N/A,N/A,0.64,0.653,10,9.05,13.35,1.319090596,9.5,3.18,0.051912568,0.07295082,0.017377049,0.007208145
